IdLandkreis,Altersgruppe,Geschlecht,Meldedatum,Refdatum,IstErkrankungsbeginn,NeuerFall,NeuerTodesfall,NeuGenesen,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
6635,A35-A59,M,2020-03-30,2020-03-26,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-03-27,2020-03-26,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-03-27,2020-03-27,0,0,-9,0,1,0,1
6635,A60-A79,M,2020-04-06,2020-03-27,1,0,-9,0,1,0,1
6635,A05-A14,M,2020-04-01,2020-03-27,1,0,-9,0,1,0,1
6635,A15-A34,M,2020-03-31,2020-03-28,1,0,-9,0,1,0,1
6635,A60-A79,M,2020-03-30,2020-03-28,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-03-30,2020-03-28,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-03-29,2020-03-29,0,0,-9,0,1,0,1
6635,A60-A79,M,2020-04-03,2020-03-29,1,0,-9,0,1,0,1
6635,A15-A34,M,2020-03-31,2020-03-30,1,0,-9,0,1,0,1
6635,A15-A34,M,2020-04-01,2020-03-30,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-03-31,2020-03-31,0,0,-9,0,1,0,1
6635,A35-A59,M,2020-04-03,2020-03-31,1,0,-9,0,1,0,1
6635,A60-A79,M,2020-04-01,2020-04-01,0,0,-9,0,2,0,2
6635,A80+,M,2020-04-09,2020-04-01,1,0,0,-9,1,1,0
6635,A60-A79,M,2020-04-03,2020-04-03,0,0,-9,0,1,0,1
6635,A15-A34,M,2020-04-09,2020-04-03,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-04-09,2020-04-03,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-04-04,2020-04-04,0,0,-9,0,1,0,1
6635,A15-A34,M,2020-04-04,2020-04-04,0,0,-9,0,1,0,1
6635,A60-A79,M,2020-04-13,2020-04-06,1,0,-9,0,1,0,1
6635,A60-A79,M,2020-04-07,2020-04-06,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-04-07,2020-04-07,0,0,-9,0,1,0,1
6635,A35-A59,M,2020-04-09,2020-04-07,1,0,-9,0,1,0,1
6635,A15-A34,M,2020-04-15,2020-04-07,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-04-14,2020-04-08,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-05-07,2020-04-08,1,0,-9,0,1,0,1
6635,A80+,M,2020-04-09,2020-04-09,1,0,0,-9,1,1,0
6635,A35-A59,M,2020-04-16,2020-04-11,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-04-20,2020-04-13,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-04-17,2020-04-14,1,0,-9,0,1,0,1
6635,A80+,M,2020-04-16,2020-04-14,1,0,0,-9,1,1,0
6635,A05-A14,M,2020-04-17,2020-04-15,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-04-16,2020-04-16,0,0,-9,0,1,0,1
6635,A80+,M,2020-04-20,2020-04-17,1,0,-9,0,1,0,1
6635,A60-A79,M,2020-04-23,2020-04-20,1,0,-9,0,1,0,1
6635,A60-A79,M,2020-04-22,2020-04-22,0,0,-9,0,1,0,1
6635,A35-A59,M,2020-04-23,2020-04-23,0,0,-9,0,1,0,1
6635,A05-A14,M,2020-05-01,2020-04-24,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-05-25,2020-05-03,1,0,-9,0,1,0,1
6635,A15-A34,M,2020-05-08,2020-05-03,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-05-08,2020-05-03,1,0,-9,0,1,0,1
6635,A15-A34,M,2020-05-05,2020-05-05,0,0,-9,0,1,0,1
6635,A15-A34,M,2020-05-13,2020-05-06,1,0,-9,0,1,0,1
6635,A80+,M,2020-05-16,2020-05-07,1,0,0,-9,1,1,0
6635,A00-A04,M,2020-05-19,2020-05-10,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-05-25,2020-05-13,1,0,-9,0,1,0,1
6635,A15-A34,M,2020-05-20,2020-05-16,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-05-26,2020-05-18,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-05-26,2020-05-26,0,0,-9,0,1,0,1
6635,A00-A04,M,2020-05-26,2020-05-26,0,0,-9,0,2,0,2
6635,A60-A79,M,2020-05-27,2020-05-27,0,0,-9,0,1,0,1
